"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 2776",https://www.congress.gov/bill/116th-congress/house-bill/2776,"116th Congress (2019-2020)",,"Stop Sewage Overflow Act","Rep. Trahan, Lori [D-MA-3]",05/15/2019,,,,24,"House - Transportation and Infrastructure",05/16/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 2764",https://www.congress.gov/bill/116th-congress/house-bill/2764,"116th Congress (2019-2020)",,"Zero-Emission Vehicles Act of 2019","Rep. Levin, Mike [D-CA-49]",05/15/2019,,,,24,"House - Energy and Commerce",05/16/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 2748",https://www.congress.gov/bill/116th-congress/house-bill/2748,"116th Congress (2019-2020)",,"Safeguarding America's Future and Environment Act","Rep. Cartwright, Matt [D-PA-8]",05/15/2019,,,,28,"House - Natural Resources",01/29/2020,"Subcommittee on Water, Oceans, and Wildlife Discharged."
"H.R. 2705",https://www.congress.gov/bill/116th-congress/house-bill/2705,"116th Congress (2019-2020)",,"Water Infrastructure Trust Fund Act of 2019","Rep. Blumenauer, Earl [D-OR-3]",05/14/2019,,,,1,"House - Transportation and Infrastructure, Ways and Means, Energy and Commerce",05/15/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 2665",https://www.congress.gov/bill/116th-congress/house-bill/2665,"116th Congress (2019-2020)",,"Smart Energy and Water Efficiency Act of 2019","Rep. McNerney, Jerry [D-CA-9]",05/10/2019,,,,4,"House - Energy and Commerce, Natural Resources, Transportation and Infrastructure",07/17/2019,"Ordered to be Reported (Amended) by Voice Vote."
"H.R. 2638",https://www.congress.gov/bill/116th-congress/house-bill/2638,"116th Congress (2019-2020)",,"To direct the Administrator of the Environmental Protection Agency to issue guidance on minimizing the use of firefighting foam containing PFAS, and for other purposes.","Rep. Fletcher, Lizzie [D-TX-7]",05/09/2019,,,,2,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2626",https://www.congress.gov/bill/116th-congress/house-bill/2626,"116th Congress (2019-2020)",,"PFAS Accountability Act of 2019","Rep. Upton, Fred [R-MI-6]",05/09/2019,,,,4,"House - Energy and Commerce, Transportation and Infrastructure, Natural Resources",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2608",https://www.congress.gov/bill/116th-congress/house-bill/2608,"116th Congress (2019-2020)",,"PFAS Testing Act of 2019","Rep. Maloney, Sean Patrick [D-NY-18]",05/09/2019,,,,2,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2605",https://www.congress.gov/bill/116th-congress/house-bill/2605,"116th Congress (2019-2020)",,"Prevent Release Of Toxics Emissions, Contamination, and Transfer Act of 2019","Rep. Stevens, Haley M. [D-MI-11]",05/08/2019,,,,8,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2600",https://www.congress.gov/bill/116th-congress/house-bill/2600,"116th Congress (2019-2020)",,"Toxic PFAS Control Act","Rep. Dean, Madeleine [D-PA-4]",05/08/2019,,,,6,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2596",https://www.congress.gov/bill/116th-congress/house-bill/2596,"116th Congress (2019-2020)",,"Protecting Communities from New PFAS Act","Rep. Kuster, Ann M. [D-NH-2]",05/08/2019,,,,1,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2591",https://www.congress.gov/bill/116th-congress/house-bill/2591,"116th Congress (2019-2020)",,"PFAS Waste Incineration Ban Act of 2019","Rep. Khanna, Ro [D-CA-17]",05/08/2019,,,,8,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2588",https://www.congress.gov/bill/116th-congress/house-bill/2588,"116th Congress (2019-2020)",,"Oxybenzone and Octinoxate Impact Study Act of 2019","Rep. Gabbard, Tulsi [D-HI-2]",05/08/2019,,,,1,"House - Energy and Commerce, Natural Resources",05/22/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 2577",https://www.congress.gov/bill/116th-congress/house-bill/2577,"116th Congress (2019-2020)",,"PFAS Right-To-Know Act","Rep. Delgado, Antonio [D-NY-19]",05/08/2019,,,,37,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2570",https://www.congress.gov/bill/116th-congress/house-bill/2570,"116th Congress (2019-2020)",,"PFAS User Fee Act of 2019","Rep. Rouda, Harley [D-CA-48]",05/08/2019,,,,5,"House - Energy and Commerce, Transportation and Infrastructure",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2566",https://www.congress.gov/bill/116th-congress/house-bill/2566,"116th Congress (2019-2020)",,"To require the Administrator of the Environmental Protection Agency to revise the Safer Choice Standard to provide for a Safer Choice label for pots, pans, and cooking utensils that do not contain PFAS, and for other purposes.","Rep. Soto, Darren [D-FL-9]",05/07/2019,,,,2,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2540",https://www.congress.gov/bill/116th-congress/house-bill/2540,"116th Congress (2019-2020)",,"Food and Fuel Consumer Protection Act of 2019","Rep. Flores, Bill [R-TX-17]",05/07/2019,,,,7,"House - Energy and Commerce",05/08/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 2470",https://www.congress.gov/bill/116th-congress/house-bill/2470,"116th Congress (2019-2020)",,"Clean Water Infrastructure Resilience and Sustainability Act","Rep. Carbajal, Salud O. [D-CA-24]",05/02/2019,,,,1,"House - Transportation and Infrastructure",05/03/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 2458",https://www.congress.gov/bill/116th-congress/house-bill/2458,"116th Congress (2019-2020)",,"WISE Act","Rep. Mucarsel-Powell, Debbie [D-FL-26]",05/01/2019,,,,4,"House - Transportation and Infrastructure",05/02/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 2414",https://www.congress.gov/bill/116th-congress/house-bill/2414,"116th Congress (2019-2020)",,"To amend the Morris K. Udall and Stewart L. Udall Foundation Act.","Rep. Grijalva, Raul M. [D-AZ-3]",04/30/2019,,,,8,"House - Education and Labor, Natural Resources",07/16/2019,"Subcommittee Hearings Held."
"H.R. 2377",https://www.congress.gov/bill/116th-congress/house-bill/2377,"116th Congress (2019-2020)",,"Protect Drinking Water from PFAS Act of 2019","Rep. Boyle, Brendan F. [D-PA-2]",04/29/2019,,,,32,"House - Energy and Commerce",09/26/2019,"Forwarded by Subcommittee to Full Committee by Voice Vote ."
"H.R. 2352",https://www.congress.gov/bill/116th-congress/house-bill/2352,"116th Congress (2019-2020)",,"Marine Oil Spill Prevention Act","Rep. Wasserman Schultz, Debbie [D-FL-23]",04/22/2019,,,,10,"House - Transportation and Infrastructure, Natural Resources, Science, Space, and Technology",04/29/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 2349",https://www.congress.gov/bill/116th-congress/house-bill/2349,"116th Congress (2019-2020)",,"Climate Change Education Act","Rep. Dingell, Debbie [D-MI-12]",04/22/2019,,,,22,"House - Energy and Commerce, Education and Labor",04/22/2019,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 2287",https://www.congress.gov/bill/116th-congress/house-bill/2287,"116th Congress (2019-2020)",,"Federal Regulatory Certainty for Water Act","Rep. Thornberry, Mac [R-TX-13]",04/10/2019,,,,0,"House - Transportation and Infrastructure",04/11/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 2247",https://www.congress.gov/bill/116th-congress/house-bill/2247,"116th Congress (2019-2020)",,"PUGET SOS Act","Rep. Heck, Denny [D-WA-10]",04/10/2019,,,,6,"House - Transportation and Infrastructure | Senate - Environment and Public Works",02/10/2020,"Received in the Senate and Read twice and referred to the Committee on Environment and Public Works."
"H.R. 2205",https://www.congress.gov/bill/116th-congress/house-bill/2205,"116th Congress (2019-2020)",,"Water Quality Certification Improvement Act of 2019","Rep. McKinley, David B. [R-WV-1]",04/10/2019,,,,7,"House - Transportation and Infrastructure",04/11/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 2156",https://www.congress.gov/bill/116th-congress/house-bill/2156,"116th Congress (2019-2020)",,"Revitalizing the Economy of Coal Communities by Leveraging Local Activities and Investing More Act of 2019","Rep. Cartwright, Matt [D-PA-8]",04/09/2019,,,,65,"House - Natural Resources",10/04/2019,"Placed on the Union Calendar, Calendar No. 176."
"H.R. 2092",https://www.congress.gov/bill/116th-congress/house-bill/2092,"116th Congress (2019-2020)",,"Protecting Communities from Hydrogen Cyanide Act of 2019","Rep. DeGette, Diana [D-CO-1]",04/04/2019,,,,0,"House - Energy and Commerce",04/04/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 2081",https://www.congress.gov/bill/116th-congress/house-bill/2081,"116th Congress (2019-2020)",,"Chronic Wasting Disease Research Act","Rep. Thompson, Glenn [R-PA-15]",04/04/2019,,,,11,"House - Agriculture",04/26/2019,"Referred to the Subcommittee on Livestock and Foreign Agriculture."
"H.R. 1976",https://www.congress.gov/bill/116th-congress/house-bill/1976,"116th Congress (2019-2020)",,"PFAS Detection Act of 2019","Rep. Kildee, Daniel T. [D-MI-5]",03/28/2019,,,,22,"House - Natural Resources",06/13/2019,"Subcommittee Hearings Held."
"H.R. 1960",https://www.congress.gov/bill/116th-congress/house-bill/1960,"116th Congress (2019-2020)",,"Healthy Climate and Family Security Act of 2019","Rep. Beyer, Donald S., Jr. [D-VA-8]",03/28/2019,,,,0,"House - Energy and Commerce, Ways and Means",03/28/2019,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 1921",https://www.congress.gov/bill/116th-congress/house-bill/1921,"116th Congress (2019-2020)",,"Ocean Acidification Innovation Act of 2019","Rep. Kilmer, Derek [D-WA-6]",03/27/2019,,,,8,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",06/10/2019,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
"H.R. 1880",https://www.congress.gov/bill/116th-congress/house-bill/1880,"116th Congress (2019-2020)",,"Women and Climate Change Act of 2019","Rep. Lee, Barbara [D-CA-13]",03/26/2019,,,,51,"House - Foreign Affairs, Energy and Commerce",03/26/2019,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 1783",https://www.congress.gov/bill/116th-congress/house-bill/1783,"116th Congress (2019-2020)",,"Keep Food Safe from Glyphosate Act of 2019","Rep. DeLauro, Rosa L. [D-CT-3]",03/14/2019,,,,6,"House - Agriculture, Energy and Commerce",04/10/2019,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research."
"H.R. 1768",https://www.congress.gov/bill/116th-congress/house-bill/1768,"116th Congress (2019-2020)",,"Diesel Emissions Reduction Act of 2019","Rep. Matsui, Doris O. [D-CA-6]",03/14/2019,,,,11,"House - Energy and Commerce | Senate - Environment and Public Works",12/18/2019,"Read twice and referred to the Committee on Environment and Public Works."
"H.R. 1764",https://www.congress.gov/bill/116th-congress/house-bill/1764,"116th Congress (2019-2020)",,"To amend the Federal Water Pollution Control Act with respect to permitting terms, and for other purposes.","Rep. Garamendi, John [D-CA-3]",03/14/2019,,,,10,"House - Transportation and Infrastructure",03/15/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 1732",https://www.congress.gov/bill/116th-congress/house-bill/1732,"116th Congress (2019-2020)",,"FASTER Act","Rep. Johnson, Dusty [R-SD-At Large]",03/13/2019,,,,4,"House - Homeland Security, Natural Resources",04/03/2019,"Referred to the Subcommittee on Border Security, Facilitation, and Operations."
"H.R. 1689",https://www.congress.gov/bill/116th-congress/house-bill/1689,"116th Congress (2019-2020)",,"Climate Change Resiliency Fund for America Act of 2019","Rep. Deutch, Theodore E. [D-FL-22]",03/12/2019,,,,0,"House - Energy and Commerce, Transportation and Infrastructure, Ways and Means",03/13/2019,"Referred to the Subcommittee on Coast Guard and Maritime Transportation."
"H.R. 1620",https://www.congress.gov/bill/116th-congress/house-bill/1620,"116th Congress (2019-2020)",,"Chesapeake Bay Program Reauthorization Act","Rep. Luria, Elaine G. [D-VA-2]",03/07/2019,,,,19,"House - Transportation and Infrastructure | Senate - Environment and Public Works",02/10/2020,"Received in the Senate and Read twice and referred to the Committee on Environment and Public Works."
"H.R. 1603",https://www.congress.gov/bill/116th-congress/house-bill/1603,"116th Congress (2019-2020)",,"Alan Reinstein Ban Asbestos Now Act of 2019","Rep. Bonamici, Suzanne [D-OR-1]",03/07/2019,,,,49,"House - Energy and Commerce, Education and Labor",11/19/2019,"Ordered to be Reported (Amended) by the Yeas and Nays: 47 - 1."
"H.R. 1584",https://www.congress.gov/bill/116th-congress/house-bill/1584,"116th Congress (2019-2020)",,"Energy Sovereignty Act","Rep. Perry, Scott [R-PA-10]",03/07/2019,,,,4,"House - Energy and Commerce",03/07/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 1497",https://www.congress.gov/bill/116th-congress/house-bill/1497,"116th Congress (2019-2020)",,"Water Quality Protection and Job Creation Act of 2019","Rep. DeFazio, Peter A. [D-OR-4]",03/05/2019,,,,56,"House - Transportation and Infrastructure",10/29/2019,"Ordered to be Reported (Amended) by Voice Vote."
"H.R. 1429",https://www.congress.gov/bill/116th-congress/house-bill/1429,"116th Congress (2019-2020)",,"Drinking Water Infrastructure for Job Creation Act","Rep. Waters, Maxine [D-CA-43]",02/28/2019,,,,31,"House - Appropriations, Budget",02/28/2019,"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 1417",https://www.congress.gov/bill/116th-congress/house-bill/1417,"116th Congress (2019-2020)",,"Water Affordability, Transparency, Equity, and Reliability Act of 2019","Rep. Lawrence, Brenda L. [D-MI-14]",02/28/2019,,,,83,"House - Transportation and Infrastructure, Energy and Commerce, Ways and Means, Agriculture",03/27/2019,"Referred to the Subcommittee on Conservation and Forestry."
"H.R. 1391",https://www.congress.gov/bill/116th-congress/house-bill/1391,"116th Congress (2019-2020)",,"Methane Rule Relief Act of 2019","Rep. Thompson, Glenn [R-PA-15]",02/27/2019,,,,0,"House - Energy and Commerce",03/01/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 1337",https://www.congress.gov/bill/116th-congress/house-bill/1337,"116th Congress (2019-2020)",,"Saving America's Pollinators Act of 2019","Rep. Blumenauer, Earl [D-OR-3]",02/25/2019,,,,77,"House - Agriculture",03/13/2019,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research."
