"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2830",https://www.congress.gov/bill/114th-congress/senate-bill/2830,"114th Congress (2015-2016)",,"Lead Testing in School and Child Care Drinking Water Act of 2016","Sen. Schumer, Charles E. [D-NY]",04/20/2016,,,,4,"Senate - Environment and Public Works",04/20/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2821",https://www.congress.gov/bill/114th-congress/senate-bill/2821,"114th Congress (2015-2016)",,"True LEADership Act of 2016","Sen. Cardin, Benjamin L. [D-MD]",04/20/2016,,,,30,"Senate - Finance",04/20/2016,"Read twice and referred to the Committee on Finance."
"S. 2820",https://www.congress.gov/bill/114th-congress/senate-bill/2820,"114th Congress (2015-2016)",,"Contaminant and Lead Electronic Accounting and Reporting Requirements (CLEARR) for Drinking Water Act of 2016","Sen. Markey, Edward J. [D-MA]",04/20/2016,,,,0,"Senate - Environment and Public Works",04/20/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2816",https://www.congress.gov/bill/114th-congress/senate-bill/2816,"114th Congress (2015-2016)",,"Diesel Emissions Reduction Act of 2016","Sen. Carper, Thomas R. [D-DE]",04/19/2016,,,,4,"Senate - Environment and Public Works",06/21/2016,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 525."
"S. 2776",https://www.congress.gov/bill/114th-congress/senate-bill/2776,"114th Congress (2015-2016)",,"TEST for Lead Act","Sen. Booker, Cory A. [D-NJ]",04/11/2016,,,,0,"Senate - Environment and Public Works",04/11/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2768",https://www.congress.gov/bill/114th-congress/senate-bill/2768,"114th Congress (2015-2016)",,"Clean Water Affordability Act of 2016","Sen. Brown, Sherrod [D-OH]",04/07/2016,,,,0,"Senate - Environment and Public Works",04/07/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2732",https://www.congress.gov/bill/114th-congress/senate-bill/2732,"114th Congress (2015-2016)",,"A bill to amend the Federal Water Pollution Control Act to exempt Indian tribes from compensatory mitigation requirements in connection with certain discharges of dredged or fill material, and for other purposes.","Sen. Sullivan, Dan  [R-AK]",03/17/2016,,,,1,"Senate - Environment and Public Works",03/17/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2727",https://www.congress.gov/bill/114th-congress/senate-bill/2727,"114th Congress (2015-2016)",,"A bill to amend the Federal Water Pollution Control Act to allow preservation leasing as a form of compensatory mitigation for discharges of dredged or fill material affecting State or Indian land, and for other purposes.","Sen. Sullivan, Dan  [R-AK]",03/17/2016,,,,1,"Senate - Environment and Public Works",03/17/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2673",https://www.congress.gov/bill/114th-congress/senate-bill/2673,"114th Congress (2015-2016)",,"Water Technology Acceleration Act of 2016","Sen. Baldwin, Tammy [D-WI]",03/14/2016,,,,0,"Senate - Environment and Public Works",03/14/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2659",https://www.congress.gov/bill/114th-congress/senate-bill/2659,"114th Congress (2015-2016)",,"RPM Act of 2016","Sen. Burr, Richard [R-NC]",03/09/2016,,,,28,"Senate - Environment and Public Works",03/09/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2603",https://www.congress.gov/bill/114th-congress/senate-bill/2603,"114th Congress (2015-2016)",,"CLEANUP Act","Sen. Markey, Edward J. [D-MA]",02/25/2016,,,,2,"Senate - Environment and Public Works",02/25/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2588",https://www.congress.gov/bill/114th-congress/senate-bill/2588,"114th Congress (2015-2016)",,"GET THE LEAD OUT Act of 2016","Sen. Cardin, Benjamin L. [D-MD]",02/25/2016,,,,2,"Senate - Environment and Public Works",02/25/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2587",https://www.congress.gov/bill/114th-congress/senate-bill/2587,"114th Congress (2015-2016)",,"CLEAR Act","Sen. Cardin, Benjamin L. [D-MD]",02/25/2016,,,,1,"Senate - Environment and Public Works",02/25/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2583",https://www.congress.gov/bill/114th-congress/senate-bill/2583,"114th Congress (2015-2016)",,"FUND Water Act","Sen. Cardin, Benjamin L. [D-MD]",02/25/2016,,,,0,"Senate - Environment and Public Works",02/25/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2579",https://www.congress.gov/bill/114th-congress/senate-bill/2579,"114th Congress (2015-2016)",,"Drinking Water Safety and Infrastructure Act","Sen. Stabenow, Debbie [D-MI]",02/24/2016,,,,12,"Senate - Energy and Natural Resources",02/24/2016,"Read twice and referred to the Committee on Energy and Natural Resources."
"S. 2535",https://www.congress.gov/bill/114th-congress/senate-bill/2535,"114th Congress (2015-2016)",,"A bill to provide deadlines for corrosion control treatment steps for lead and copper in drinking water, and other purposes.","Sen. Brown, Sherrod [D-OH]",02/10/2016,,,,1,"Senate - Environment and Public Works",02/10/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2532",https://www.congress.gov/bill/114th-congress/senate-bill/2532,"114th Congress (2015-2016)",,"A bill to authorize appropriations for the Drinking Water State Revolving Fund and the Clean Water State Revolving Fund.","Sen. Cardin, Benjamin L. [D-MD]",02/10/2016,,,,0,"Senate - Environment and Public Works",02/10/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2466",https://www.congress.gov/bill/114th-congress/senate-bill/2466,"114th Congress (2015-2016)",,"Improving Notification for Clean and Safe Drinking Water Act of 2016","Sen. Peters, Gary C. [D-MI]",01/27/2016,,,,8,"Senate - Environment and Public Works",01/27/2016,"Read twice and referred to the Committee on Environment and Public Works."
